"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.4-5",NA,NA,NA,NA
"amc","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.2.1","amc","achubaty","3330753132d4dca15011e4e64db5ccea28e3b8c4","3330753132d4dca15011e4e64db5ccea28e3b8c4"
"animation","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","2.7",NA,NA,NA,NA
"archive","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.1.5",NA,NA,NA,NA
"arm","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.13-1",NA,NA,NA,NA
"askpass","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.1",NA,NA,NA,NA
"assertthat","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.2.1",NA,NA,NA,NA
"backports","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.4.1",NA,NA,NA,NA
"base64enc","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.1-3",NA,NA,NA,NA
"BH","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.81.0-1",NA,NA,NA,NA
"bibtex","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.5.1",NA,NA,NA,NA
"bit","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","4.0.5",NA,NA,NA,NA
"bit64","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","4.0.5",NA,NA,NA,NA
"bitops","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.0-7",NA,NA,NA,NA
"blme","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.0-5",NA,NA,NA,NA
"blob","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.2.3",NA,NA,NA,NA
"bookdown","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.34",NA,NA,NA,NA
"brew","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.0-8",NA,NA,NA,NA
"brio","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.1.3",NA,NA,NA,NA
"broom","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.0.3",NA,NA,NA,NA
"broom.mixed","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.2.9.4",NA,NA,NA,NA
"bslib","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.4.2",NA,NA,NA,NA
"cachem","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","1.0.7",NA,NA,NA,NA
"callr","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","3.7.3",NA,NA,NA,NA
"car","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","3.1-1",NA,NA,NA,NA
"carData","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","3.0-5",NA,NA,NA,NA
"checkmate","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","2.1.0",NA,NA,NA,NA
"CircStats","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.2-6",NA,NA,NA,NA
"classInt","/home/achubaty/GitHub/LandWeb/renv/library/R-4.2/x86_64-pc-linux-gnu","0.4-8",NA,NA,NA,NA
